Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:17:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,NM,,,,,,,0,0,,,
Admin,2020-12-14,NM,171,170,335,329,165,167,,,0,4,2
Report,2020-12-14,NM,,,,,,,0,0,,,
Admin,2020-12-15,NM,921,914,1256,1243,414,418,,,0,4,1
Report,2020-12-15,NM,,,,,,,0,0,,,
Admin,2020-12-16,NM,4724,4667,5980,5910,1478,1495,,,8,12,3
Report,2020-12-16,NM,,,,,,,122,31,,,
Admin,2020-12-17,NM,5670,5627,11650,11537,2307,2330,,,26,38,7
Report,2020-12-17,NM,,,,,,,187,62,,,
Admin,2020-12-18,NM,6093,6078,17743,17615,2936,2957,,,7,45,7
Report,2020-12-18,NM,,,,,,,968,213,,,
Admin,2020-12-19,NM,1543,1542,19286,19157,2737,2755,,,1,46,6
Report,2020-12-19,NM,,,,,,,2536,545,,,
Admin,2020-12-20,NM,448,447,19734,19604,2778,2795,,,1,47,6
Report,2020-12-20,NM,,,,,,,4072,1126,,,
Admin,2020-12-21,NM,3575,3551,23309,23155,3261,3282,,,18,65,8
Report,2020-12-21,NM,,,,,,,1409,1328,,,
Admin,2020-12-22,NM,5391,5279,28700,28434,3884,3920,,,17,82,11
Report,2020-12-22,NM,,,,,,,379,1382,,,
Admin,2020-12-23,NM,8712,8635,37412,37069,4451,4490,,,22,104,13
Report,2020-12-23,NM,,,,,,,2789,1763,,,
Admin,2020-12-24,NM,800,796,38212,37865,3761,3794,,,4,108,10
Report,2020-12-24,NM,,,,,,,3550,2243,,,
Admin,2020-12-25,NM,155,135,38367,38000,2912,2946,,,2,110,9
Report,2020-12-25,NM,,,,,,,4711,2778,,,
Admin,2020-12-26,NM,482,479,38849,38479,2760,2794,,,1,111,9
Report,2020-12-26,NM,,,,,,,1869,2683,,,
Admin,2020-12-27,NM,854,853,39703,39332,2818,2852,,,1,112,9
Report,2020-12-27,NM,,,,,,,178,2126,,,
Admin,2020-12-28,NM,4460,4407,44163,43739,2941,2979,,,18,130,9
Report,2020-12-28,NM,,,,,,,369,1978,,,
Admin,2020-12-29,NM,5962,5881,50125,49620,3027,3060,,,65,195,16
Report,2020-12-29,NM,,,,,,,407,1982,,,
Admin,2020-12-30,NM,10817,10739,60942,60359,3327,3361,,,37,232,18
Report,2020-12-30,NM,,,,,,,3044,2018,,,
Admin,2020-12-31,NM,4537,4430,65479,64789,3846,3895,,,84,316,29
Report,2020-12-31,NM,,,,,,,3938,2074,,,
Admin,2021-01-01,NM,389,370,65868,65159,3880,3928,,,16,332,31
Report,2021-01-01,NM,,,,,,,5778,2226,,,
Admin,2021-01-02,NM,2082,1794,67950,66953,4068,4157,,,9,341,32
Report,2021-01-02,NM,,,,,,,3879,2513,,,
Admin,2021-01-03,NM,819,754,68769,67707,4054,4152,,,63,404,41
Report,2021-01-03,NM,,,,,,,538,2565,,,
Admin,2021-01-04,NM,5669,4892,74438,72599,4123,4325,,,645,1049,131
Report,2021-01-04,NM,,,,,,,1656,2749,,,
Admin,2021-01-05,NM,8754,6810,83192,79409,4256,4723,,,1788,2837,377
Report,2021-01-05,NM,,,,,,,0,2690,,,
Admin,2021-01-06,NM,16942,11770,100134,91179,4403,5598,,,4700,7537,1043
Report,2021-01-06,NM,,,,,,,2385,2596,,,
Admin,2021-01-07,NM,13109,8061,113243,99240,4922,6823,,,4765,12302,1712
Report,2021-01-07,NM,,,,,,,3539,2539,,,
Admin,2021-01-08,NM,14399,8619,127642,107859,6100,8824,,,5583,17885,2507
Report,2021-01-08,NM,,,,,,,8060,2865,,,
Admin,2021-01-09,NM,5202,4258,132844,112117,6452,9270,,,729,18614,2610
Report,2021-01-09,NM,,,,,,,0,2311,,,
Admin,2021-01-10,NM,1464,1098,134308,113215,6501,9362,,,364,18978,2653
Report,2021-01-10,NM,,,,,,,16703,4620,,,
Admin,2021-01-11,NM,9056,6039,143364,119254,6665,9846,,,2618,21596,2935
Report,2021-01-11,NM,,,,,,,3707,4913,,,
Admin,2021-01-12,NM,11154,7059,154518,126313,6701,10189,,,3848,25444,3229
Report,2021-01-12,NM,,,,,,,1462,5122,,,
Admin,2021-01-13,NM,15614,11298,170132,137611,6633,9999,,,4023,29467,3132
Report,2021-01-13,NM,,,,,,,3620,5299,,,
Admin,2021-01-14,NM,16462,14242,186594,151853,7516,10478,,,2023,31490,2741
Report,2021-01-14,NM,,,,,,,7560,5873,,,
Admin,2021-01-15,NM,10715,9466,197309,161319,7637,9952,,,1088,32578,2099
Report,2021-01-15,NM,,,,,,,9890,6135,,,
Admin,2021-01-16,NM,5261,4947,202570,166266,7736,9960,,,307,32885,2038
Report,2021-01-16,NM,,,,,,,8309,7322,,,
Admin,2021-01-17,NM,1971,1784,204541,168050,7834,10033,,,181,33066,2012
Report,2021-01-17,NM,,,,,,,6529,5868,,,
Admin,2021-01-18,NM,6574,5050,211115,173100,7692,9678,,,1487,34553,1851
Report,2021-01-18,NM,,,,,,,0,5339,,,
Admin,2021-01-19,NM,10357,7297,221472,180397,7726,9564,,,3038,37591,1735
Report,2021-01-19,NM,,,,,,,24007,8559,,,
Admin,2021-01-20,NM,22278,15604,243750,196001,8341,10516,,,6576,44167,2100
Report,2021-01-20,NM,,,,,,,5152,8778,,,
Admin,2021-01-21,NM,18194,14844,261944,210845,8427,10764,,,3274,47441,2278
Report,2021-01-21,NM,,,,,,,9163,9007,,,
Admin,2021-01-22,NM,16052,14038,277996,224883,9081,11526,,,1947,49388,2401
Report,2021-01-22,NM,,,,,,,9580,8963,,,
Admin,2021-01-23,NM,9077,7920,287073,232803,9505,12071,,,783,50171,2469
Report,2021-01-23,NM,,,,,,,22653,11012,,,
Admin,2021-01-24,NM,1154,915,288227,233718,9381,11955,,,231,50402,2476
Report,2021-01-24,NM,,,,,,,15443,12285,,,
Admin,2021-01-25,NM,9582,5381,297809,239099,9428,12384,,,4155,54557,2857
Report,2021-01-25,NM,,,,,,,4529,12932,,,
Admin,2021-01-26,NM,14134,6821,311943,245920,9360,12924,,,7267,61824,3461
Report,2021-01-26,NM,,,,,,,5466,10284,,,
Admin,2021-01-27,NM,21249,13181,333192,259101,9014,12777,,,7952,69776,3658
Report,2021-01-27,NM,,,,,,,6939,10539,,,
Admin,2021-01-28,NM,18651,12182,351843,271283,8634,12842,,,6305,76081,4091
Report,2021-01-28,NM,,,,,,,7617,10318,,,
Admin,2021-01-29,NM,17145,10581,368988,281864,8140,12998,,,6400,82481,4727
Report,2021-01-29,NM,,,,,,,14063,10959,,,
Admin,2021-01-30,NM,11270,8095,380258,289959,8165,13312,,,2803,85284,5016
Report,2021-01-30,NM,,,,,,,9566,9089,,,
Admin,2021-01-31,NM,3404,2221,383662,292180,8352,13633,,,1144,86428,5146
Report,2021-01-31,NM,,,,,,,15826,9144,,,
Admin,2021-02-01,NM,10520,6431,394182,298611,8502,13767,,,3986,90414,5122
Report,2021-02-01,NM,,,,,,,11077,10079,,,
Admin,2021-02-02,NM,14200,7312,408382,305923,8572,13777,,,6742,97156,5047
Report,2021-02-02,NM,,,,,,,2393,9640,,,
Admin,2021-02-03,NM,19927,11540,428309,317463,8337,13588,,,8245,105401,5089
Report,2021-02-03,NM,,,,,,,7213,9679,,,
Admin,2021-02-04,NM,24435,13394,452744,330857,8511,14414,,,10743,116144,5723
Report,2021-02-04,NM,,,,,,,9736,9982,,,
Admin,2021-02-05,NM,15782,7688,468526,338545,8097,14219,,,7872,124016,5933
Report,2021-02-05,NM,,,,,,,12379,9741,,,
Admin,2021-02-06,NM,15622,11032,484148,349577,8517,14841,,,3893,127909,6089
Report,2021-02-06,NM,,,,,,,15666,10613,,,
Admin,2021-02-07,NM,1723,702,485871,350279,8300,14601,,,1002,128911,6069
Report,2021-02-07,NM,,,,,,,9182,9664,,,
Admin,2021-02-08,NM,10535,4789,496406,355068,8065,14603,,,5064,133975,6223
Report,2021-02-08,NM,,,,,,,10993,9652,,,
Admin,2021-02-09,NM,21548,10431,517954,365499,8511,15653,,,10877,144852,6813
Report,2021-02-09,NM,,,,,,,3278,9778,,,
Admin,2021-02-10,NM,25925,11319,543879,376818,8479,16510,,,14267,159119,7674
Report,2021-02-10,NM,,,,,,,8563,9971,,,
Admin,2021-02-11,NM,27216,15035,571095,391853,8714,16907,,,11818,170937,7827
Report,2021-02-11,NM,,,,,,,15237,10757,,,
Admin,2021-02-12,NM,23529,11641,594624,403494,9278,18014,,,11641,182578,8366
Report,2021-02-12,NM,,,,,,,18942,11694,,,
Admin,2021-02-13,NM,19176,13191,613800,416685,9587,18521,,,5911,188489,8654
Report,2021-02-13,NM,,,,,,,11105,11043,,,
Admin,2021-02-14,NM,2137,1446,615937,418131,9693,18580,,,630,189119,8601
Report,2021-02-14,NM,,,,,,,19971,12584,,,
Admin,2021-02-15,NM,4857,2171,620794,420302,9319,17769,,,2533,191652,8239
Report,2021-02-15,NM,,,,,,,8863,12280,,,
Admin,2021-02-16,NM,10229,3988,631023,424290,8399,16152,,,6156,197808,7565
Report,2021-02-16,NM,,,,,,,14614,13899,,,
Admin,2021-02-17,NM,23108,8598,654131,432888,8010,15750,,,14345,212153,7576
Report,2021-02-17,NM,,,,,,,4020,13250,,,
Admin,2021-02-18,NM,18704,8278,672835,441166,7045,14534,,,10103,222256,7331
Report,2021-02-18,NM,,,,,,,8655,12310,,,
Admin,2021-02-19,NM,20986,11212,693821,452378,6983,14171,,,9454,231710,7018
Report,2021-02-19,NM,,,,,,,106546,24825,,,
Admin,2021-02-20,NM,10007,6429,703828,458807,6017,12861,,,3473,235183,6670
Report,2021-02-20,NM,,,,,,,16336,25572,,,
Admin,2021-02-21,NM,693,318,704521,459125,5856,12654,,,334,235517,6628
Report,2021-02-21,NM,,,,,,,17035,25153,,,
Admin,2021-02-22,NM,8932,3403,713453,462528,6032,13237,,,5316,240833,7025
Report,2021-02-22,NM,,,,,,,8781,25141,,,
Admin,2021-02-23,NM,13728,6799,727181,469327,6434,13736,,,6831,247664,7122
Report,2021-02-23,NM,,,,,,,7764,24162,,,
Admin,2021-02-24,NM,28120,13066,755301,482393,7072,14452,,,14909,262573,7202
Report,2021-02-24,NM,,,,,,,6170,24470,,,
Admin,2021-02-25,NM,25978,14317,781279,496710,7935,15492,,,11295,273868,7373
Report,2021-02-25,NM,,,,,,,16179,25544,,,
Admin,2021-02-26,NM,24924,16165,806203,512875,8642,16054,,,8537,282405,7242
Report,2021-02-26,NM,,,,,,,22273,13505,,,
Admin,2021-02-27,NM,19424,9698,825627,522573,9109,17399,,,9609,292014,8118
Report,2021-02-27,NM,,,,,,,20969,14167,,,
Admin,2021-02-28,NM,3867,1560,829494,524133,9287,17853,,,2222,294236,8388
Report,2021-02-28,NM,,,,,,,27451,15655,,,
Admin,2021-03-01,NM,9865,4676,839359,528809,9469,17986,,,5025,299261,8346
Report,2021-03-01,NM,,,,,,,6074,15269,,,
Admin,2021-03-02,NM,16811,11032,856170,539841,10073,18427,,,5632,304893,8175
Report,2021-03-02,NM,,,,,,,9877,15570,,,
